IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,ITA,Italy,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,37.82,,,,,,37.8,,Survey conducted by AIAS Associazione Italiana Assistenza Spastici della Provincia di Bologna O.N.L.U.S.; Istituto Superiore di Sanità; Fondazione CENSIS; Rete Italiana dei Centri di consulenza su ausili tecnologici per le disabilità (GLIC),EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,POL,Poland,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,38.14,,,,,,38.1,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assistive product(s),ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_APs,,,,,,,38.83,,,,,,38.8,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,39.93,,,,,,39.9,,"Survey conducted in Blantyre region. Survey conducted by Centre for Social Research, University of Malawi",EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Assistive product(s),ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_APs,,,,,,,40.29,,,,,,40.3,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assistive product(s),ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_APs,,,,,,,41.07,,,,,,41.1,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AFR,Africa,Country,TGO,Togo,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,41.27,,,,,,41.3,,,EN,2022-05-10T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,43.36,,,,,,43.4,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,43.95,,,,,,44.0,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,44.23,,,,,,44.2,,Survey conducted in Solola region. Survey conducted by Stichting Liliane Fonds,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,44.23,,,,,,44.2,,Survey conducted in Solola region. Survey conducted by Stichting Liliane Fonds,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,44.66,,,,,,44.7,,,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,true,Assistive technology product,Total,ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL,Satisfaction with assistive products and related services,Mainteinance and repair,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_repair,,,,,,,46.01,,,,,,46.0,,Survey conducted in Solola region. Survey conducted by Stichting Liliane Fonds,EN,2022-04-29T04:00:00.000Z
ASSISTIVETECH_SATISFACTIONSERVICES,Satisfaction with assistive products and related services (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2021,true,Assistive technology product,"Total, excluding spectacles",ASSISTIVETECHPRODUCT_ASSISTIVETECH_TOTAL_NOSPECS,Satisfaction with assistive products and related services,Assessment and training,ASSISTIVETECHSATISERVICE_ASSISTIVETECH_sati_assessment,,,,,,,46.06,,,,,,46.1,,"Survey conducted in the following regions: Anhui, Beijing, Fujian, Hubei, Sichuan, Shaanxi. Survey conducted by China Assistive Devices and Technology Center for Persons with Disabilities",EN,2022-04-29T04:00:00.000Z
